ID_NUM,IND_ACCDA,IND_ACCIV,TOTAL_MU30DF,TOTAL_HG30DF,TOTAL_HL30DF,FECHA_ACCIDENTE,HORA_ACCIDENTE,MES_1F,ANYO,CCAA_1F,PROVINCIA_1F,COD_MUNICIPIO,CARRETERA,KM,SENTIDO_1F,TIPO_VIA_3F,TITULARIDAD_VIA_2F,TIPO_ANIMAL_1F,TIPO_ANIMAL_2F
202444266318,1,0,0,0,0,11/7/2024,15:55,7,2024,2,44,00000,TE-V-1009,12,2,2,3,17,1
202444266319,1,0,0,0,0,9/9/2024,6:20,9,2024,2,44,00000,TE-V-1009,"8,608",1,2,2,8,1
202444266320,1,0,0,0,0,23/9/2024,5:35,9,2024,2,44,00000,TE-33,"8,194",1,2,3,5,1
202444266321,1,0,0,0,0,10/10/2024,7:00,10,2024,2,44,00000,TE-V-6006,4,1,2,4,5,1
202444266322,1,0,0,0,0,15/10/2024,13:00,10,2024,2,44,00000,TE-V-6013,"1,5",1,2,3,5,1
202444266323,1,0,0,0,0,24/11/2024,12:55,11,2024,2,44,00000,A-2520,"14,5",1,2,2,5,1
202444266324,1,0,0,0,0,10/12/2024,22:50,12,2024,2,44,00000,TE-V-6006,"4,6",1,2,4,5,1
202444266325,1,0,0,0,0,8/1/2024,19:00,1,2024,2,44,00000,N-234,"179,5",1,2,1,8,1
202444266326,1,0,0,0,0,24/1/2024,18:30,1,2024,2,44,00000,N-234,182,2,2,1,24,2
202444266327,1,0,0,0,0,27/3/2024,23:20,3,2024,2,44,00000,N-234,"181,1",1,2,1,8,1
202444266328,1,0,0,0,0,3/4/2024,6:30,4,2024,2,44,00000,N-234,"180,5",1,2,1,5,1
202444266329,1,0,0,0,0,10/4/2024,7:25,4,2024,2,44,00000,N-211,122,1,2,1,5,1
202444266330,1,0,0,0,0,7/5/2024,6:15,5,2024,2,44,00000,TE-V-4301,"7,3",2,2,4,8,1
202444266331,1,0,0,0,0,11/5/2024,11:30,5,2024,2,44,00000,A-23,175,1,1,1,5,1
202444266332,1,0,0,0,0,13/5/2024,0:30,5,2024,2,44,00000,N-211,"126,8",1,2,1,8,1
202444266333,1,0,0,0,0,24/5/2024,23:45,5,2024,2,44,00000,N-211,"122,875",2,2,1,8,1
202444266334,1,0,0,0,0,30/5/2024,6:30,5,2024,2,44,00000,N-211,122,1,2,1,5,1
202444266335,1,0,0,0,0,1/8/2024,3:15,8,2024,2,44,00000,A-23,178,2,1,1,17,1
202444266336,1,0,0,0,0,3/8/2024,23:55,8,2024,2,44,00000,N-234,"184,3",2,2,1,5,1
202444266337,1,0,0,0,0,7/8/2024,9:00,8,2024,2,44,00000,TE-V-4301,"6,5",1,2,3,5,1
202444266338,1,0,0,0,0,15/11/2024,22:00,11,2024,2,44,00000,TE-V-4301,"2,431",2,2,2,5,1
202444266339,1,0,0,0,0,4/2/2024,20:45,2,2024,2,44,00000,A-227,4,1,2,2,2,1
202444266340,1,0,0,0,0,23/1/2024,7:20,1,2024,2,44,00000,A-227,7,2,2,2,17,1
202444266341,1,0,0,0,0,16/4/2024,5:10,4,2024,2,44,00000,A-226,94,1,2,2,5,1
202444266342,1,0,0,0,0,17/8/2024,0:15,8,2024,2,44,00000,A-1409,"30,633",1,2,2,8,1
202444266343,1,0,0,0,0,19/9/2024,20:05,9,2024,2,44,00000,A-227,5,2,2,2,2,1
202444266344,1,0,0,0,0,19/9/2024,21:45,9,2024,2,44,00000,A-227,"1,8",2,2,2,8,1
202444266345,1,0,0,0,0,4/10/2024,8:00,10,2024,2,44,00000,A-226,"91,7",2,2,2,5,1
202444266346,1,0,0,0,0,4/12/2024,22:55,12,2024,2,44,00000,A-227,"6,5",1,2,2,8,1
202444266347,1,0,0,0,0,4/12/2024,19:00,12,2024,2,44,00000,A-226,78,1,2,2,8,1
202444266348,1,0,0,0,0,5/12/2024,16:00,12,2024,2,44,00000,A-226,"91,8",2,2,2,24,2
202444266349,1,0,0,0,0,26/12/2024,12:30,12,2024,2,44,00000,A-226,79,2,2,3,8,1
202444266350,1,0,0,0,0,27/4/2024,0:20,4,2024,2,44,00000,N-211,"184,9",1,2,1,5,1
202444266351,1,0,0,0,0,10/8/2024,14:00,8,2024,2,44,00000,N-211,"184,5",2,2,2,1,1
202444266352,1,0,0,0,0,31/5/2024,8:30,5,2024,2,44,00000,TE-V-4001,2,2,2,3,5,1
202444266353,1,0,0,0,0,7/1/2024,13:00,1,2024,2,44,00000,A-2402,11,1,2,2,5,1
202444266354,1,0,0,0,0,17/2/2024,1:20,2,2024,2,44,00000,N-211,179,2,2,1,5,1
202444266355,1,0,0,0,0,19/3/2024,23:10,3,2024,2,44,00000,N-211,180,2,2,1,8,1
